Click board,Manufacture,Status,Linux Driver,Protocol,URL
LSM6DSL,MIKROE,IN PRODUCTION,lsm6dsl,SPI,https://www.mikroe.com/lsm6dsl-click
Magnetic Linear,MIKROE,TESTED,mcp3221,I2C,https://www.mikroe.com/magnetic-linear-click
Magnetic Rotary,MIKROE,TESTED,mcp3202,SPI,https://www.mikroe.com/magnetic-rotary-click
MICROSD,MIKROE,TESTED,mmc_spi,SPI,https://www.mikroe.com/microsd-click
MPU 9DOF,MIKROE,TESTED,mpu9150,I2C,https://www.mikroe.com/mpu-9dof-click
MPU IMU,MIKROE,TESTED,mpu6000,SPI,https://www.mikroe.com/mpu-imu-click
NO2,MIKROE,TESTED,mcp3221,I2C,https://www.mikroe.com/no2-click
NO2 2,MIKROE,TESTED,mcp3201,SPI,https://www.mikroe.com/no2-2-click
OLEDB,MIKROE,TESTED,fb_ssd1306,SPI,https://www.mikroe.com/oledb-click
OLEDC,MIKROE,IN PRODUCTION,fb_ssd1351,SPI,https://www.mikroe.com/oledc-click
OLEDW,MIKROE,TESTED,fb_ssd1306,SPI,https://www.mikroe.com/oledw-click
Ozone 2,MIKROE,TESTED,mcp3551,SPI,https://www.mikroe.com/ozone-2-click
Pressure,MIKROE,TESTED,lps331ap,I2C,https://www.mikroe.com/pressure-click
Pressure 11,MIKROE,TESTED,lps33hw,I2C,https://www.mikroe.com/pressure-11-click
Pressure 3,MIKROE,TESTED,dps310,I2C,https://www.mikroe.com/pressure-3-click
Pressure 4,MIKROE,TESTED,bmp280,SPI,https://www.mikroe.com/pressure-4-click
Proximity,MIKROE,TESTED,vcnl4010,I2C,https://www.mikroe.com/proximity-click
Proximity 10,MIKROE,TESTED,si1143,I2C,https://www.mikroe.com/proximity-10-click
Proximity 2,MIKROE,TESTED,max44000,I2C,https://www.mikroe.com/proximity-2-click
Proximity 5,MIKROE,TESTED,vcnl4035,I2C,https://www.mikroe.com/proximity-5-click
Proximity 9,MIKROE,TESTED,vcnl4040,I2C,https://www.mikroe.com/proximity-9-click
PWM,MIKROE,TESTED,pca9685,I2C,https://www.mikroe.com/pwm-click
RF Meter,MIKROE,TESTED,mcp3201,SPI,https://www.mikroe.com/rf-meter-click
RFID,MikroE,TESTED,st95hf,SPI,https://www.mikroe.com/rfid-click
RMS to DC,MIKROE,TESTED,mcp3221,I2C,https://www.mikroe.com/rms-to-dc-click
RTC 6,MIKROE,TESTED,mcp7941x,I2C,https://www.mikroe.com/rtc-6-click
SHT,MIKROE,TESTED,sht3x,I2C,https://www.mikroe.com/sht-click
SHT1x,MIKROE,TESTED,sht11,Raw,https://www.mikroe.com/sht1x-click
Smoke,MIKROE,TESTED,max30105,I2C,https://www.mikroe.com/smoke-click
Temp Hum,MIKROE,TESTED,hts221,I2C,https://www.mikroe.com/temp-hum-click
Temp Hum 11,MIKROE,TESTED,hdc1080,I2C,https://www.mikroe.com/temp-hum-11-click
TEMP HUM 12 CLICK,MIKROE,TESTED,hdc2080,I2C,https://www.mikroe.com/temp-hum-12-click-click
TEMP HUM 3 CLICK,MIKROE,TESTED,hdc2010,I2C,https://www.mikroe.com/temp-hum-3-click-click
TEMP HUM 4,MIKROE,TESTED,hdc1010,I2C,https://www.mikroe.com/temp-hum-4-click
Temp Hum 7,MIKROE,TESTED,si7020,I2C,https://www.mikroe.com/temp-hum-7-click
Temp Hum 9,MIKROE,TESTED,shtc3,I2C,https://www.mikroe.com/temp-hum-9-click
Temp Log 3,MIKROE,TESTED,jc42,I2C,https://www.mikroe.com/temp-log-3-click
Temp Log 4,MIKROE,TESTED,jc42,I2C,https://www.mikroe.com/temp-log-4-click
Temp Log 6,MIKROE,TESTED,max6642,I2C,https://www.mikroe.com/temp-log-6-click
THERMO CLICK,MIKROE,IN PRODUCTION,max31855k,SPI,https://www.mikroe.com/thermo-click-click
Thermo 12,MIKROE,TESTED,adt7420,I2C,https://www.mikroe.com/thermo-12-click
Thermo 15,MIKROE,TESTED,lm75a,I2C,https://www.mikroe.com/thermo-15-click
Thermo 17,MIKROE,TESTED,tmp451,I2C,https://www.mikroe.com/thermo-17-click
Thermo 3,MIKROE,IN PRODUCTION,tmp102,I2C,https://www.mikroe.com/thermo-3-click
Thermo 4,MIKROE,TESTED,lm75a,I2C,https://www.mikroe.com/thermo-4-click
Thermo 7,MIKROE,TESTED,mcp980x,I2C,https://www.mikroe.com/thermo-7-click
Thermo 8,MIKROE,TESTED,mcp980x,I2C,https://www.mikroe.com/thermo-8-click
Thermostat 3,MIKROE,TESTED,max31855k,SPI,https://www.mikroe.com/thermostat-3-click
Thunder,MIKROE,TESTED,as3935,SPI,https://www.mikroe.com/thunder-click
Altitude 2,MIKROE,TESTED,ms5607,I2C,https://www.mikroe.com/altitude-2-click
GNSS,MIKROE,TESTED,neo-8,UART,https://www.mikroe.com/gnss-click
GNSS 2,MIKROE,TESTED,neo-8,UART,https://www.mikroe.com/gnss-2-click
GNSS 3,MIKROE,TESTED,neo-8,UART,https://www.mikroe.com/gnss-3-click
GPS,MIKROE,TESTED,neo-8,UART,https://www.mikroe.com/gps-click
GPS 2,MIKROE,TESTED,neo-8,UART,https://www.mikroe.com/gps-2-click
GPS 3,MIKROE,TESTED,neo-8,UART,https://www.mikroe.com/gps-3-click
GPS 4,MIKROE,TESTED,neo-8,UART,https://www.mikroe.com/gps-4-click
HTU21D,MIKROE,TESTED,htu21,I2C,https://www.mikroe.com/htu21d-click
NANO GPS,MIKROE,TESTED,neo-8,UART,https://www.mikroe.com/nano-gps-click
Pressure 7,MIKROE,TESTED,ms5837,I2C,https://www.mikroe.com/pressure-7-click
Temp Hum 8,MIKROE,TESTED,sht21,I2C,https://www.mikroe.com/temp-hum-8-click
Thermo 9,MIKROE,TESTED,tsys01,I2C,https://www.mikroe.com/thermo-9-click
UV 2,MIKROE,TESTED,veml6070,I2C,https://www.mikroe.com/uv-2-click
UV 3,MIKROE,TESTED,veml6070,I2C,https://www.mikroe.com/uv-3-click
Vacuum,MIKROE,TESTED,mcp3221,I2C,https://www.mikroe.com/vacuum-click
Voltmeter,MIKROE,TESTED,mcp3201,SPI,https://www.mikroe.com/voltmeter-click
Waveform,MIKROE,TESTED,ad9833,SPI,https://www.mikroe.com/waveform-click
Weather,MIKROE,IN PRODUCTION,bme280,I2C,https://www.mikroe.com/weather-click
